====================================================================================================
GNN增強模型相對排名 - Train/Val/Test Ratio: 0.8/0.15/0.05
====================================================================================================

說明：
- 只在45個GNN變體之間進行相對排名（排名範圍: 1-45）
- Train/Val/Test 比例: 0.8/0.15/0.05
- 共 50 個競爭者：
  * 9個模型：excelformer, fttransformer, resnet, tabnet, tabtransformer, trompt, vime, scarf, subtab
  * 5種GNN插入階段：start, materialize, encoding, columnwise, decoding
  * 不包含原始模型（none階段）和參考模型（t2gformer, tabpfn, xgboost, catboost, lightgbm）
- 排名越小表示表現越好


====================================================================================================
分類: large_datasets+binclass+numerical (包含 6 個資料集)
====================================================================================================

排名      競爭者                                                                   平均排名        出現次數      
----------------------------------------------------------------------------------------------------
1       resnet(ratio=0.8/0.15/0.05, gnn_stage=encoding)                       3.50        6         
2       trompt(ratio=0.8/0.15/0.05, gnn_stage=encoding)                       3.67        6         
3       trompt(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                     3.83        6         
4       tabnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)                       6.83        6         
5       resnet(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                     7.00        6         
6       vime(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                       8.33        6         
7       vime(ratio=0.8/0.15/0.05, gnn_stage=encoding)                         9.50        6         
8       resnet(ratio=0.8/0.15/0.05, gnn_stage=start)                          13.50       6         
9       tabnet(ratio=0.8/0.15/0.05, gnn_stage=start)                          13.83       6         
10      resnet(ratio=0.8/0.15/0.05, gnn_stage=decoding)                       15.83       6         
11      vime(ratio=0.8/0.15/0.05, gnn_stage=materialize)                      16.33       6         
12      fttransformer(ratio=0.8/0.15/0.05, gnn_stage=columnwise)              16.33       6         
13      resnet(ratio=0.8/0.15/0.05, gnn_stage=materialize)                    16.67       6         
14      trompt(ratio=0.8/0.15/0.05, gnn_stage=start)                          16.83       6         
15      trompt(ratio=0.8/0.15/0.05, gnn_stage=materialize)                    17.33       6         
16      fttransformer(ratio=0.8/0.15/0.05, gnn_stage=encoding)                18.00       6         
17      vime(ratio=0.8/0.15/0.05, gnn_stage=start)                            18.33       6         
18      tabnet(ratio=0.8/0.15/0.05, gnn_stage=materialize)                    19.17       6         
19      vime(ratio=0.8/0.15/0.05, gnn_stage=decoding)                         22.50       6         
20      tabtransformer(ratio=0.8/0.15/0.05, gnn_stage=decoding)               23.17       6         
21      tabtransformer(ratio=0.8/0.15/0.05, gnn_stage=columnwise)             23.33       6         
22      excelformer(ratio=0.8/0.15/0.05, gnn_stage=encoding)                  24.17       6         
23      tabtransformer(ratio=0.8/0.15/0.05, gnn_stage=encoding)               24.50       6         
24      tabm(ratio=0.8/0.15/0.05, gnn_stage=encoding)                         24.67       6         
25      fttransformer(ratio=0.8/0.15/0.05, gnn_stage=materialize)             25.00       6         
26      fttransformer(ratio=0.8/0.15/0.05, gnn_stage=start)                   25.17       6         
27      tabm(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                       26.00       6         
28      tabtransformer(ratio=0.8/0.15/0.05, gnn_stage=start)                  28.33       6         
29      excelformer(ratio=0.8/0.15/0.05, gnn_stage=decoding)                  29.00       6         
30      tabm(ratio=0.8/0.15/0.05, gnn_stage=decoding)                         30.33       6         
31      tabtransformer(ratio=0.8/0.15/0.05, gnn_stage=materialize)            30.50       6         
32      excelformer(ratio=0.8/0.15/0.05, gnn_stage=start)                     31.67       6         
33      excelformer(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                31.83       6         
34      tabm(ratio=0.8/0.15/0.05, gnn_stage=materialize)                      32.00       6         
35      tabm(ratio=0.8/0.15/0.05, gnn_stage=start)                            32.17       6         
36      trompt(ratio=0.8/0.15/0.05, gnn_stage=decoding)                       32.50       6         
37      excelformer(ratio=0.8/0.15/0.05, gnn_stage=materialize)               33.00       6         
38      subtab(ratio=0.8/0.15/0.05, gnn_stage=encoding)                       34.50       6         
39      subtab(ratio=0.8/0.15/0.05, gnn_stage=decoding)                       34.67       6         
40      subtab(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                     36.00       6         
41      scarf(ratio=0.8/0.15/0.05, gnn_stage=decoding)                        37.17       6         
42      scarf(ratio=0.8/0.15/0.05, gnn_stage=encoding)                        38.00       6         
43      scarf(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                      39.17       6         
44      subtab(ratio=0.8/0.15/0.05, gnn_stage=materialize)                    39.50       6         
45      subtab(ratio=0.8/0.15/0.05, gnn_stage=start)                          39.67       6         
46      scarf(ratio=0.8/0.15/0.05, gnn_stage=materialize)                     40.17       6         
47      scarf(ratio=0.8/0.15/0.05, gnn_stage=start)                           41.50       6         
48      fttransformer(ratio=0.8/0.15/0.05, gnn_stage=decoding)                43.67       6         
49      tabnet(ratio=0.8/0.15/0.05, gnn_stage=encoding)                       48.00       6         
50      tabnet(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                     48.33       6         

====================================================================================================
分類: large_datasets+multiclass+numerical (包含 3 個資料集)
====================================================================================================

排名      競爭者                                                                   平均排名        出現次數      
----------------------------------------------------------------------------------------------------
1       trompt(ratio=0.8/0.15/0.05, gnn_stage=encoding)                       2.00        3         
2       resnet(ratio=0.8/0.15/0.05, gnn_stage=encoding)                       2.67        3         
3       trompt(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                     4.33        3         
4       excelformer(ratio=0.8/0.15/0.05, gnn_stage=encoding)                  5.33        3         
5       excelformer(ratio=0.8/0.15/0.05, gnn_stage=columnwise)                7.67        3         
6       tabtransformer(ratio=0.8/0.15/0.05, gnn_stage=encoding)               8.67        3         
7       tabtransformer(ratio=0.8/0.15/0.05, gnn_stage=columnwise)             9.00        3         
